x, y
-9.97018, -14.940359
-9.860222, -14.720444
-9.773362, -14.546724
-9.67079, -14.341579
-9.551523, -14.103046
-9.452147, -13.904293
-9.30092, -13.601839
-9.26691, -13.533819
-9.165114, -13.330229
-9.09849, -13.1969795
-8.923531, -12.847061
-8.862805, -12.725611
-8.733062, -12.466124
-8.614097, -12.228193
-8.538182, -12.0763645
-8.408332, -11.816664
-8.326783, -11.653566
-8.282751, -11.565502
-8.133564, -11.267128
-8.085867, -11.171734
-7.9763813, -10.952763
-7.8561735, -10.712347
-7.760421, -10.520842
-7.6454673, -10.290935
-7.55426, -10.10852
-7.485192, -9.970384
-7.3224344, -9.644869
-7.232156, -9.464312
-7.128048, -9.256096
-7.063, -9.126
-6.9541793, -8.908359
-6.810851, -8.621702
-6.799371, -8.598742
-6.624108, -8.248216
-6.543763, -8.087526
-6.4330416, -7.866083
-6.311798, -7.623596
-6.2440033, -7.4880066
-6.160807, -7.3216143
-6.04241, -7.08482
-5.9466963, -6.8933926
-5.877967, -6.755934
-5.7463064, -6.492613
-5.6635284, -6.327057
-5.5217633, -6.0435266
-5.417436, -5.8348722
-5.3591485, -5.718297
-5.271082, -5.542164
-5.151061, -5.302122
-5.068921, -5.137842
-4.9237766, -4.8475533
-4.8689256, -4.737851
-4.7812977, -4.5625954
-4.6043444, -4.2086887
-4.5928283, -4.1856565
-4.414006, -3.8280125
-4.3998013, -3.7996025
-4.2278953, -3.4557905
-4.11653, -3.23306
-4.066331, -3.1326618
-3.9297118, -2.8594236
-3.8687637, -2.7375274
-3.7388616, -2.4777231
-3.6021142, -2.2042284
-3.5443108, -2.0886216
-3.4126787, -1.8253574
-3.3634343, -1.7268686
-3.2089543, -1.4179087
-3.1703339, -1.3406677
-3.005141, -1.010282
-2.9965336, -0.99306726
-2.8827803, -0.7655606
-2.7219436, -0.44388723
-2.691154, -0.382308
-2.5391707, -0.078341484
-2.4984143, 0.003171444
-2.309867, 0.3802662
-2.296892, 0.40621614
-2.1237042, 0.7525916
-2.0368233, 0.92635345
-1.9260434, 1.1479132
-1.8513523, 1.2972953
-1.7810944, 1.4378111
-1.6591265, 1.681747
-1.5392236, 1.9215529
-1.4852535, 2.029493
-1.3295536, 2.3408928
-1.2950262, 2.4099476
-1.1312791, 2.7374418
-1.0297569, 2.9404862
-0.93324006, 3.13352
-0.88390297, 3.232194
-0.7274733, 3.5450535
-0.6944759, 3.6110482
-0.51269794, 3.9746041
-0.4779324, 4.044135
-0.33910525, 4.3217897
-0.24419232, 4.5116153
-0.11921764, 4.7615647
-0.009084245, 4.9818316
0.045998193, 5.091996
0.14980616, 5.2996125
0.299252, 5.598504
0.3540799, 5.70816
0.42761263, 5.855225
0.5590039, 6.1180077
0.6530182, 6.3060365
0.7098567, 6.4197135
0.8348266, 6.669653
0.90558606, 6.811172
1.0958608, 7.191722
1.197091, 7.394182
1.2958093, 7.5916185
1.3202938, 7.640588
1.4597125, 7.919425
1.5216408, 8.043282
1.6123309, 8.224662
1.7202652, 8.440531
1.8371097, 8.674219
1.9409429, 8.881886
2.016875, 9.033751
2.1315923, 9.263185
2.222325, 9.444651
2.3594234, 9.718847
2.4280994, 9.856199
2.5873697, 10.17474
2.6446931, 10.289387
2.7725327, 10.545065
2.8215442, 10.643088
2.938762, 10.877523
3.0406911, 11.081383
3.1343257, 11.268652
3.2223258, 11.444652
3.3853803, 11.770761
3.4171786, 11.834357
3.5241506, 12.048302
3.649396, 12.298792
3.7648258, 12.529652
3.813261, 12.626522
3.9017727, 12.803545
4.0617285, 13.123457
4.1605897, 13.321179
4.2701473, 13.540295
4.363135, 13.72627
4.4743824, 13.948765
4.5696692, 14.1393385
4.620288, 14.240576
4.752233, 14.504466
4.845812, 14.691624
4.9656615, 14.931323
5.009737, 15.019474
5.14063, 15.28126
5.2186985, 15.437397
5.3398395, 15.679679
5.474041, 15.948082
5.514406, 16.028812
5.6274815, 16.254963
5.739829, 16.479658
5.8259807, 16.651962
5.9402432, 16.880486
6.014311, 17.028622
6.1804857, 17.360971
6.288313, 17.576626
6.396065, 17.79213
6.4648952, 17.92979
6.5615354, 18.12307
6.6747656, 18.349531
6.710429, 18.420858
6.8031154, 18.606232
6.935562, 18.871124
7.072245, 19.14449
7.1475053, 19.29501
7.2070045, 19.41401
7.335337, 19.670673
7.4792147, 19.95843
7.5562854, 20.112572
7.661445, 20.322891
7.7591906, 20.518381
7.885041, 20.770082
7.9584303, 20.91686
8.067082, 21.134165
8.19246, 21.38492
8.226721, 21.453442
8.355883, 21.711765
8.429026, 21.858051
8.500062, 22.000124
8.615627, 22.231255
8.782487, 22.564974
8.811339, 22.622679
8.902773, 22.805546
9.09667, 23.19334
9.109568, 23.219135
9.238846, 23.477692
9.373018, 23.746037
9.487462, 23.974924
9.5812435, 24.162487
9.672277, 24.344555
9.774083, 24.548166
9.89824, 24.79648
9.9128475, 24.825695
